Framenum, Queue Density, Dynamic Density
644, 0.564036, 0.0529814
647, 0.558127, 0.042197
650, 0.566313, 0.0461001
653, 0.57033, 0.0467702
656, 0.56966, 0.0460922
659, 0.573104, 0.0455946
662, 0.576482, 0.0453751
665, 0.578061, 0.0455593
668, 0.581843, 0.048804
671, 0.571733, 0.0475343
674, 0.574985, 0.0482358
677, 0.57823, 0.0521624
680, 0.581255, 0.051602
683, 0.582999, 0.0484356
686, 0.585636, 0.0533262
689, 0.586079, 0.0469818
692, 0.587827, 0.04668
695, 0.572332, 0.0406177
698, 0.578104, 0.0412918
701, 0.581913, 0.0379217
704, 0.582282, 0.0346103
707, 0.585711, 0.0300332
710, 0.586953, 0.0268081
713, 0.588779, 0.0191117
716, 0.590045, 0.0184769
719, 0.590053, 0.0241473
722, 0.570976, 0.00882892
725, 0.575773, 0.00571744
728, 0.578285, 0.0011717
731, 0.579766, 0.00182221
734, 0.579954, 0.0020064
737, 0.580107, 0
740, 0.580154, 0
743, 0.580326, 0
746, 0.57176, 0.00166546
749, 0.573688, 0.000881717
752, 0.574464, 0
755, 0.577062, 0.00149696
758, 0.577587, 0.00246881
761, 0.576705, 0.00215531
764, 0.576466, 0
767, 0.574962, 0.00241394
770, 0.56143, 0.00179478
773, 0.564001, 0.00158709
776, 0.567829, 0.00282149
779, 0.570902, 0.00283717
782, 0.574922, 0.00612107
785, 0.575581, 0.00567042
788, 0.577956, 0.0078414
791, 0.582556, 0.0143387
794, 0.586702, 0.0159218
797, 0.58325, 0.016059
800, 0.589614, 0.0189393
803, 0.593023, 0.0224701
806, 0.596428, 0.023293
809, 0.599379, 0.0250172
812, 0.603192, 0.0275801
815, 0.608424, 0.0279837
818, 0.6115, 0.0299666
821, 0.603702, 0.00694401
824, 0.607781, 0.00610148
827, 0.61132, 0.00893081
830, 0.614749, 0.0161531
833, 0.612734, 0.00880149
836, 0.610046, 0
839, 0.609313, 0.010467
842, 0.609642, 0.00415778
